AtomicNumber,AtomicSymbol,Element,AtomTup,OrbitalGroup,Protons,Neutrons,GroupNumber,Period,SlotNumber,SlotP,SlotN,SlotOrien,AlphaType,SlotX,SlotY,SlotZ,CanBind,SlotLayout,SL1,SL2,SL3,SL4
42,3,Li,lithium,"(' 3 lithium Li ', 3)",[He],3,4,1,2,5,0,0,H,0,0,0,0,N,,- 18,| 2,- 16,
43,3,Li,lithium,"(' 3 lithium Li ', 3)",[He],3,4,1,2,6,0,0,V,0,0,0,0,N,- 10,| 6,- 1,| 7,- 12
44,3,Li,lithium,"(' 3 lithium Li ', 3)",[He],3,4,1,2,7,0,0,V,0,0,0,0,N,,- 17,| 3,- 19,
45,3,Li,lithium,"(' 3 lithium Li ', 3)",[He],3,4,1,2,8,0,0,V,0,0,0,0,N,- 11,| 8,- 5,,
46,3,Li,lithium,"(' 3 lithium Li ', 3)",[He],3,4,1,2,9,0,0,V,0,0,0,0,N,,,,,
47,3,Li,lithium,"(' 3 lithium Li ', 3)",[He],3,4,1,2,10,0,0,H,0,0,0,0,N,,,| 15,,
48,3,Li,lithium,"(' 3 lithium Li ', 3)",[He],3,4,1,2,11,0,0,H,0,0,0,0,N,,,,,
49,3,Li,lithium,"(' 3 lithium Li ', 3)",[He],3,4,1,2,12,0,0,H,0,0,0,0,N,,,,,
50,3,Li,lithium,"(' 3 lithium Li ', 3)",[He],3,4,1,2,13,0,0,H,0,0,0,0,N,,,,,
51,3,Li,lithium,"(' 3 lithium Li ', 3)",[He],3,4,1,2,14,0,0,V,0,0,0,0,N,,,,,
52,3,Li,lithium,"(' 3 lithium Li ', 3)",[He],3,4,1,2,15,0,0,V,0,0,0,0,N,,,,,
53,3,Li,lithium,"(' 3 lithium Li ', 3)",[He],3,4,1,2,16,0,0,H,0,0,0,0,N,,,,,
54,3,Li,lithium,"(' 3 lithium Li ', 3)",[He],3,4,1,2,17,0,0,H,0,0,0,0,N,,,,,
55,3,Li,lithium,"(' 3 lithium Li ', 3)",[He],3,4,1,2,18,0,0,H,0,0,0,0,N,,,,,
56,3,Li,lithium,"(' 3 lithium Li ', 3)",[He],3,4,1,2,19,0,0,H,0,0,0,0,N,,,,,
57,4,Be,beryllium,"(' 4 beryllium Be ', 4)",[He],4,5,2,2,1,0,0,H,1,0,0,0,Y,,,,,
58,4,Be,beryllium,"(' 4 beryllium Be ', 4)",[He],4,5,2,2,2,0,0,V,0,0,0,0,N,,,| 14,,
59,4,Be,beryllium,"(' 4 beryllium Be ', 4)",[He],4,5,2,2,3,0,0,V,0,0,0,0,N,,,,,
60,4,Be,beryllium,"(' 4 beryllium Be ', 4)",[He],4,5,2,2,4,0,0,H,1,0,0,0,Y,,,- 4,| 9,- 13
61,4,Be,beryllium,"(' 4 beryllium Be ', 4)",[He],4,5,2,2,5,0,0,H,1,0,0,0,Y,,- 18,| 2,- 16,
62,4,Be,beryllium,"(' 4 beryllium Be ', 4)",[He],4,5,2,2,6,0,0,V,0,0,0,0,N,- 10,| 6,- 1,| 7,- 12
63,4,Be,beryllium,"(' 4 beryllium Be ', 4)",[He],4,5,2,2,7,0,0,V,0,0,0,0,N,,- 17,| 3,- 19,
64,4,Be,beryllium,"(' 4 beryllium Be ', 4)",[He],4,5,2,2,8,0,0,V,0,0,0,0,N,- 11,| 8,- 5,,
65,4,Be,beryllium,"(' 4 beryllium Be ', 4)",[He],4,5,2,2,9,0,0,V,0,0,0,0,N,,,- 5,,
66,4,Be,beryllium,"(' 4 beryllium Be ', 4)",[He],4,5,2,2,10,0,0,H,0,0,0,0,N,,,| 15,,
67,4,Be,beryllium,"(' 4 beryllium Be ', 4)",[He],4,5,2,2,11,0,0,H,0,0,0,0,N,,,,,
68,4,Be,beryllium,"(' 4 beryllium Be ', 4)",[He],4,5,2,2,12,0,0,H,0,0,0,0,N,,,,,
69,4,Be,beryllium,"(' 4 beryllium Be ', 4)",[He],4,5,2,2,13,0,0,H,0,0,0,0,N,,,,,
70,4,Be,beryllium,"(' 4 beryllium Be ', 4)",[He],4,5,2,2,14,0,0,V,0,0,0,0,N,,,,,
71,4,Be,beryllium,"(' 4 beryllium Be ', 4)",[He],4,5,2,2,15,0,0,V,0,0,0,0,N,,,,,
72,4,Be,beryllium,"(' 4 beryllium Be ', 4)",[He],4,5,2,2,16,0,0,H,0,0,0,0,N,,,,,
73,4,Be,beryllium,"(' 4 beryllium Be ', 4)",[He],4,5,2,2,17,0,0,H,0,0,0,0,N,,,,,
74,4,Be,beryllium,"(' 4 beryllium Be ', 4)",[He],4,5,2,2,18,0,0,H,0,0,0,0,N,,,,,
75,4,Be,beryllium,"(' 4 beryllium Be ', 4)",[He],4,5,2,2,19,0,0,H,0,0,0,0,N,,,,,
76,5,B,boron,"(' 5 boron B ', 5)",[He],5,6,13,2,1,0,0,H,2,0,0,0,Y,,,,,
77,5,B,boron,"(' 5 boron B ', 5)",[He],5,6,13,2,2,0,0,V,1,0,0,0,Y,,,| 14,,
78,5,B,boron,"(' 5 boron B ', 5)",[He],5,6,13,2,3,0,0,V,1,0,0,0,Y,,,,,
79,5,B,boron,"(' 5 boron B ', 5)",[He],5,6,13,2,4,0,0,H,0,0,0,0,N,,,- 4,| 9,- 13
80,5,B,boron,"(' 5 boron B ', 5)",[He],5,6,13,2,5,0,0,H,0,0,0,0,N,,- 18,| 2,- 16,
81,5,B,boron,"(' 5 boron B ', 5)",[He],5,6,13,2,6,0,0,V,0,0,0,0,N,- 10,| 6,- 1,| 7,- 12
